[2025-09-22 14:08:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.8,"energy":12.58,"last_seen":"2025-09-22T14:08:07-06:00","linkquality":176,"power":111.5,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.26,"energy":12.58,"last_seen":"2025-09-22T14:08:07-06:00","linkquality":172,"power":111.5,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.26,"energy":12.58,"last_seen":"2025-09-22T14:08:07-06:00","linkquality":172,"power":111.5,"power_factor":0.73,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.26,"energy":12.58,"last_seen":"2025-09-22T14:08:08-06:00","linkquality":172,"power":111.5,"power_factor":0.73,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.26,"energy":12.58,"last_seen":"2025-09-22T14:08:08-06:00","linkquality":172,"power":111.5,"power_factor":0.73,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.28,"energy":752.5,"last_seen":"2025-09-22T14:08:09-06:00","linkquality":148,"power":17.4,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom TV Power Strip', payload '{"ac_frequency":60,"current":0.3,"energy":752.5,"last_seen":"2025-09-22T14:08:09-06:00","linkquality":148,"power":17.4,"power_factor":0.47,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Washer Power', payload '{"ac_frequency":60,"current":0.01,"energy":55.78,"last_seen":"2025-09-22T14:08:10-06:00","linkquality":192,"power":0.4,"power_factor":0.29,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.26,"energy":12.58,"last_seen":"2025-09-22T14:08:12-06:00","linkquality":172,"power":88.8,"power_factor":0.73,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.58,"last_seen":"2025-09-22T14:08:12-06:00","linkquality":176,"power":88.8,"power_factor":0.73,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.58,"last_seen":"2025-09-22T14:08:12-06:00","linkquality":176,"power":88.8,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.58,"last_seen":"2025-09-22T14:08:13-06:00","linkquality":176,"power":88.8,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.58,"last_seen":"2025-09-22T14:08:13-06:00","linkquality":172,"power":88.8,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.59,"last_seen":"2025-09-22T14:08:13-06:00","linkquality":172,"power":88.8,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Cody's Desk', payload '{"ac_frequency":60,"current":1.69,"energy":1021.17,"last_seen":"2025-09-22T14:08:17-06:00","linkquality":255,"power":175.3,"power_factor":0.85,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.2}'
[2025-09-22 14:08:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":1.14,"energy":12.59,"last_seen":"2025-09-22T14:08:17-06:00","linkquality":176,"power":54.7,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.76,"energy":12.59,"last_seen":"2025-09-22T14:08:17-06:00","linkquality":180,"power":54.7,"power_factor":0.64,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.76,"energy":12.59,"last_seen":"2025-09-22T14:08:17-06:00","linkquality":176,"power":54.7,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:18] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.76,"energy":12.59,"last_seen":"2025-09-22T14:08:18-06:00","linkquality":176,"power":54.7,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:18] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.76,"energy":12.59,"last_seen":"2025-09-22T14:08:18-06:00","linkquality":176,"power":54.7,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Cody's Desk', payload '{"ac_frequency":60,"current":1.69,"energy":1021.17,"last_seen":"2025-09-22T14:08:19-06:00","linkquality":255,"power":185.4,"power_factor":0.85,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.2}'
[2025-09-22 14:08:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Cody's Desk', payload '{"ac_frequency":60,"current":1.78,"energy":1021.17,"last_seen":"2025-09-22T14:08:19-06:00","linkquality":255,"power":185.4,"power_factor":0.85,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":120.2}'
[2025-09-22 14:08:20] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Washer Power', payload '{"ac_frequency":60,"current":0.01,"energy":55.78,"last_seen":"2025-09-22T14:08:20-06:00","linkquality":192,"power":0.4,"power_factor":0.21,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513376,"latest_version":268513378,"state":"available"},"voltage":121.4}'
[2025-09-22 14:08:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.76,"energy":12.59,"last_seen":"2025-09-22T14:08:22-06:00","linkquality":172,"power":51.9,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.73,"energy":12.59,"last_seen":"2025-09-22T14:08:22-06:00","linkquality":172,"power":51.9,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.73,"energy":12.59,"last_seen":"2025-09-22T14:08:23-06:00","linkquality":172,"power":51.9,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
[2025-09-22 14:08:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/3D Printer Plug', payload '{"ac_frequency":60,"current":0.73,"energy":12.59,"last_seen":"2025-09-22T14:08:27-06:00","linkquality":172,"power":109,"power_factor":0.59,"power_on_behavior":"previous","state":"ON","update":{"installed_version":268513372,"latest_version":268513378,"state":"available"},"voltage":120.5}'
